井名	顶深	沉积微相
H38-61	1642.5	1
H38-61	1647.9	1
H38-61	1653.1	1
H38-61	1655.4	1
H38-61	1661.40 	2
H38-61	1662.3	1
H38-61	1665.6	1
H38-61	1666.8	2
H38-61	1669.6	1
H38-61	1673.60 	2
H38-61	1673.60 	2
H39-60	1804	2
H39-60	1809.5	1
H39-60	1814	2
H39-60	1814.5	1
H39-60	1815.80 	1
H39-60	1824.68 	1
H39-60	1827.9	1
H39-60	1831.8	1
H39-60	1833.6	2
H39-60	1835.3	1
H39-60	1836.10 	2
H39-60	1836.8	1
H39-60	1838.80 	2
H39-61	1812	2
H39-61	1814	1
H39-61	1817.4	2
H39-61	1819.1	1
H39-61	1825.5	2
H39-61	1826	1
H39-61	1828.4	2
H39-61	1829.1	1
H39-61	1831.4	2
H39-61	1833.3	1
H39-61	1837.10 	2
H39-61	1837.1	1
H39-61	1838.5	2
H39-61	1842.1	1
H39-61	1844.10 	2
H39-61	1848.6	1
H39-61	1851.60 	2
H40-60	1773	2
H40-60	1777.4	1
H40-60	1783.6	2
H40-60	1784.50 	1
H40-60	1792.77 	1
H40-60	1797.4	1
H40-60	1799	2
H40-60	1802	1
H40-60	1804.6	2
H40-60	1805.6	1
H40-60	1807.40 	2
H40-60	1809.04 	2
H40-61	1862	2
H40-61	1864	1
H40-61	1865.9	2
H40-61	1866.6	1
H40-61	1869	2
H40-61	1870.1	1
H40-61	1874.7	1
H40-61	1876	2
H40-61	1882.5	1
H40-61	1884.30 	2
H40-61	1885.470621	2
H40-61	1891.5	1
H40-61	1893.30 	2
H40-61	1895.624087	2
H40-61	1903.3	1
H40-61	1904.40 	2
H41-56	1797.4	1
H41-56	1801.8	2
H41-56	1802.1	1
H41-56	1810.1	2
H41-56	1810.6	1
H41-56	1811.4	2
H41-56	1812	1
H41-56	1819.60 	2
H41-56	1820	1
H41-56	1827.30 	2
H41-56	1831.85 	2
H41-57	1785	2
H41-57	1789.9	1
H41-57	1790.8	2
H41-57	1791.3	1
H41-57	1794.2	2
H41-57	1795	1
H41-57	1797.8	2
H41-57	1798.4	1
H41-57	1802.3	2
H41-57	1803.1	1
H41-57	1804.40 	2
H41-57	1805.4	1
H41-57	1817.90 	2
H41-57	1823.3	1
H41-57	1826.80 	2
H41-58	1850	2
H41-58	1863.1	1
H41-58	1865.6	2
H41-58	1866	1
H41-58	1870	2
H41-58	1871	1
H41-58	1872.4	2
H41-58	1873	1
H41-58	1878.90 	2
H41-58	1879.5	1
H41-58	1887.50 	2
H41-58	1893.57 	2
H41-59	1782	2
H41-59	1786.4	1
H41-59	1792.9	1
H41-59	1794.3	1
H41-59	1799	2
H41-59	1799.80 	1
H41-59	1806.47 	1
H41-59	1812.1	1
H41-59	1813.5	1
H41-59	1816.90 	2
H41-59	1816.99 	2
H41-60	1815.6	1
H41-60	1818.2	2
H41-60	1818.9	1
H41-60	1821.3	2
H41-60	1821.6	1
H41-60	1827.5	2
H41-60	1827.9	1
H41-60	1831.8	2
H41-60	1832	1
H41-60	1834.30 	2
H41-60	1834.6	1
H41-60	1839	2
H41-60	1839.9	1
H41-60	1840.8	2
H41-60	1843.3	1
H41-60	1849.40 	2
H41-60	1851.032967	2
H41-60	1859	1
H41-60	1863.10 	2
H42-53	1733.5	1
H42-53	1736	1
H42-53	1742.3	2
H42-53	1743.1	1
H42-53	1747.6	2
H42-53	1748.4	1
H42-53	1750	1
H42-53	1752.00 	2
H42-53	1756.79782	2
H42-53	1762.6	1
H42-53	1764.00 	2
H42-53	1768.169915	2
H42-53	1776.1	1
H42-53	1778.20 	2
H42-54	1814.1	1
H42-54	1823.5	2
H42-54	1824.1	1
H42-54	1825.7	2
H42-54	1826.5	1
H42-54	1832.10 	2
H42-54	1832.336323	2
H42-54	1845.5	1
H42-54	1848.10 	2
H42-54	1849	1
H42-54	1852.60 	2
H42-56	1812	2
H42-56	1818	1
H42-56	1820.3	2
H42-56	1820.8	1
H42-56	1823.4	2
H42-56	1823.6	1
H42-56	1826.1	2
H42-56	1827.10 	1
H42-56	1831.94 	1
H42-56	1840.2	1
H42-56	1844.20 	2
H42-56	1846.346154	2
H42-56	1853.3	1
H42-56	1854.60 	2
H42-57	1831	2
H42-57	1838.1	1
H42-57	1839.4	2
H42-57	1840.3	1
H42-57	1848.1	2
H42-57	1848.9	1
H42-57	1852.80 	2
H42-57	1854.5	1
H42-57	1857.5	2
H42-57	1858.9	1
H42-57	1864.50 	2
H42-57	1865.6	1
H42-57	1868.00 	2
H42-58	1803	2
H42-58	1806	1
H42-58	1812.3	2
H42-58	1813.6	1
H42-58	1815.6	1
H42-58	1823.6	1
H42-58	1824.90 	1
H42-58	1827.51 	1
H42-58	1835.3	2
H42-58	1836.4	1
H42-58	1838.40 	2
H42-58	1838.4	1
H42-58	1840.4	1
H42-58	1842.40 	2
H42-59	1852	2
H42-59	1857.1	1
H42-59	1859.6	2
H42-59	1860.4	1
H42-59	1862.4	1
H42-59	1866	2
H42-59	1866.5	1
H42-59	1869.1	2
H42-59	1870.00 	1
H42-59	1876.14 	1
H42-59	1880.5	2
H42-59	1881.1	1
H42-59	1885.20 	2
H42-59	1886.1	1
H42-59	1887.10 	2
H42-60	1749	1
H42-60	1756	1
H42-60	1758.6	2
H42-60	1760.1	1
H42-60	1764.6	2
H42-60	1765	1
H42-60	1768.00 	2
H42-60	1768	1
H42-60	1770	1
H42-60	1772	2
H42-60	1779	1
H42-60	1783.10 	2
H42-60	1783.1	2
H42-60	1789	1
H42-60	1792.90 	2
H43-53	1782	2
H43-53	1786.9	1
H43-53	1798	2
H43-53	1798.8	1
H43-53	1799.40 	2
H43-53	1804.11 	2
H43-53	1814.89 	2
H43-54	1805.9	1
H43-54	1809.9	2
H43-54	1810.9	1
H43-54	1813.2	2
H43-54	1813.6	1
H43-54	1819.50 	2
H43-54	1819.9	1
H43-54	1824.50 	2
H43-54	1832.28 	2
H43-56	1832	2
H43-56	1839.1	1
H43-56	1841.6	1
H43-56	1846	1
H43-56	1849	2
H43-56	1849.6	1
H43-56	1851.00 	1
H43-56	1856.76 	1
H43-56	1861.6	2
H43-56	1862.8	1
H43-56	1863.8	2
H43-56	1864.8	1
H43-56	1873.20 	2
H43-56	1873.5	1
H43-56	1875.9	2
H43-56	1876.9	1
H43-56	1878.5	2
H43-56	1880.1	1
H43-56	1881	2
H43-56	1881.6	1
H43-56	1882.90 	2
H43-57	1795	2
H43-57	1800.7	1
H43-57	1802.6	2
H43-57	1805.2	1
H43-57	1809.1	2
H43-57	1810.1	1
H43-57	1815.7	2
H43-57	1816.20 	1
H43-57	1821.57 	1
H43-57	1826.2	2
H43-57	1827.6	1
H43-57	1829.40 	2
H43-57	1831.634149	2
H43-57	1834.9	1
H43-57	1839.00 	2
H43-58	1823	2
H43-58	1830.1	1
H43-58	1834	1
H43-58	1835.8	2
H43-58	1836.3	1
H43-58	1839.3	2
H43-58	1839.8	1
H43-58	1845.2	2
H43-58	1846.3	1
H43-58	1848.60 	2
H43-58	1849.6	1
H43-58	1852	1
H43-58	1853.6	1
H43-58	1856.2	1
H43-58	1859.00 	2
H43-58	1860.50 	2
H43-59	1780	2
H43-59	1782.1	1
H43-59	1784.9	2
H43-59	1785.6	1
H43-59	1787.9	2
H43-59	1788.1	1
H43-59	1790.9	2
H43-59	1791.5	1
H43-59	1797.8	2
H43-59	1798.1	1
H43-59	1801.7	2
H43-59	1802.6	1
H43-59	1804.70 	2
H43-59	1806.1	1
H43-59	1807.5	2
H43-59	1808.5	1
H43-59	1811.1	2
H43-59	1811.6	1
H43-59	1813.7	2
H43-59	1814.3	1
H43-59	1815.70 	2
H43-59	1816.50 	2
H44-51	1765	2
H44-51	1769.6	1
H44-51	1772.5	2
H44-51	1773.3	1
H44-51	1774.8	1
H44-51	1777.30 	2
H44-51	1786.313409	2
H44-51	1796.8	1
H44-51	1798.30 	2
H44-51	1798.46 	2
H44-52	1762	2
H44-52	1765.5	1
H44-52	1766.6	2
H44-52	1767.5	1
H44-52	1771.5	2
H44-52	1773.7	1
H44-52	1776.2	1
H44-52	1777.70 	2
H44-52	1781.27 	2
H44-52	1800.393813	2
H44-52	1802.6	1
H44-52	1805.6	2
H44-52	1806.9	1
H44-52	1811.40 	2
H44-53	1827	2
H44-53	1830	1
H44-53	1842	1
H44-53	1844.40 	2
H44-53	1850.748685	2
H44-53	1854.9	1
H44-53	1858.3	2
H44-53	1859.10 	1
H44-53	1862.09 	1
H44-53	1867.2	1
H44-53	1868.50 	2
